date,close,change,rsi,up,down
2015-11-06,2.15,-0.05,61.22733481072595,0.0,0.0
2015-11-09,2.11,-0.04,52.97515652934086,0.0,0.0
2015-11-10,2.02,-0.09,47.163365756550505,0.0,0.0
2015-11-11,2.07,0.05,36.785857795619364,0.0,0.0
2015-11-12,2.0,-0.07,44.53457907794966,0.0,0.0
2015-11-13,1.99,-0.01,37.23233919226632,0.0,0.0
2015-11-16,1.99,0.0,36.261606422383245,0.0,0.0
2015-11-17,1.98,-0.01,36.261606422383245,0.0,0.0
2015-11-18,2.12,0.14,35.06743343376873,0.0,0.0
2015-11-19,2.14,0.02,57.47465579168655,0.0,0.0
2015-11-20,2.22,0.08,59.74276174914077,0.0,0.0
2015-11-23,2.22,0.0,67.63416528386142,0.0,0.0
2015-11-24,2.34,0.12,67.63416528386142,0.0,0.0
2015-11-25,2.38,0.04,76.61509110727502,0.0,0.0
2015-11-27,2.33,-0.05,78.85072401765642,0.0,0.0
2015-11-30,2.36,0.03,69.37581842394837,0.0,0.0
2015-12-01,2.34,-0.02,71.70707588010835,0.0,0.0
2015-12-02,2.27,-0.07,67.77607749291786,0.0,0.0
2015-12-03,2.23,-0.04,55.586925373189516,0.0,0.0
2015-12-04,2.28,0.05,49.74446555809701,0.0,0.0
2015-12-07,2.355,0.075,56.30523070293159,0.0,0.0
2015-12-08,2.39,0.035,64.29573063465509,0.0,0.0
2015-12-09,2.35,-0.04,67.46855867341262,0.0,0.0
2015-12-10,2.45,0.1,60.4520464543792,0.0,0.0
2015-12-11,2.36,-0.09,69.5112726844042,0.0,0.0
2015-12-14,2.34,-0.02,56.25645131210548,0.0,0.0
2015-12-15,2.36,0.02,53.657897447671985,0.0,0.0
2015-12-16,2.54,0.18,55.98162569063922,0.0,0.0
2015-12-17,2.56,0.02,70.95945373641645,0.0,0.0
2015-12-18,2.45,-0.11,72.16226682835796,0.0,0.0
2015-12-21,2.53,0.08,57.255996873109325,0.0,0.0
2015-12-22,2.77,0.24,63.51939595700111,0.0,0.0
2015-12-23,2.83,0.06,75.71841904207858,0.0,0.0
2015-12-24,2.92,0.09,77.83601382649195,0.0,0.0
2015-12-28,3.0,0.08,80.71863100657369,0.0,0.0
2015-12-29,3.0,0.0,82.96883953080795,0.0,0.0
